参数路径,当前值,ops.veh_commercial,ops.veh_passenger_ops,ops.veh_private,ops.veh_total,ops.battery_vehicle,ops.battery_station,ops.battery_total,ops.annual_energy,scale.daily_swaps,scale.heavy_stations,scale.choco_stations,mfg.swap_veh_2030,mfg.charge_veh_2030,mfg.swap_gwh_2030,mfg.charge_gwh_2030,capex.initial_capex,capex.equity_call,capex.peak_call,capex.project_debt,swap.revenue,swap.service_rev,swap.rent_rev,swap.ancillary,swap.opex,swap.ebitda,swap.required_ebitda,swap.coverage,swap.operating_value,mfg.with_swap_np,mfg.no_swap_np,val.power_with_swap,val.power_no_swap,val.swap_increment,val.incr_over_mktcap,fund.peak_cash_to_cfo,fund.closing_liquidity,fund.exposure
construction.battery_price_curve.slow_annual_decline_rate,0.0275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0560,0.0564,0.0069,0.0000,0.0000,0.0025,0.0000,0.0062,0.0062,0.0000,0.0000,0.0000
construction.battery_price_curve.storage_to_power_price_ratio,0.917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0599,-0.1308,-0.3047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1332,0.1350,0.0617,0.0000,0.0000,0.0219,0.0000,0.0551,0.0551,0.0000,0.0031,0.0000
construction.battery_price_curve.retirement_soh,0.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0599,-0.1308,-0.3047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2339,0.2395,0.0617,0.0000,0.0000,0.0219,0.0000,0.0551,0.0551,0.0000,0.0031,0.0000
construction.battery_price_curve.annual_soh_decline_rate,0.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0031,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
construction.battery_price_curve.secondary_market_discount,0.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0599,-0.1308,-0.3047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1332,0.1350,0.0617,0.0000,0.0000,0.0219,0.0000,0.0551,0.0551,0.0000,0.0031,0.0000
swap_business.operating_days,350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1587,0.2147,0.2827,0.4934,1.0000,0.0000,0.0000,0.5308,0.4895,-0.3053,0.8198,0.5314,0.0436,0.0000,0.2169,0.0000,0.5454,0.5454,0.0000,-0.0083,0.0000
swap_business.usable_energy_factor,0.8,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0532,-0.0580,-0.1101,-0.9840,-0.9900,-1.1042,0.0000,0.0000,0.0000,0.0000,-0.1843,-0.3010,-0.1310,-0.7488,-0.1068,-0.1101,-0.0356,-1.0548,-0.4071,-0.0753,-0.2954,0.2268,0.0611,-0.0196,0.0000,0.0091,0.0000,0.0228,0.0228,0.0000,0.0157,0.0000
swap_business.service_fee_rmb_kwh,0.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4631,1.0000,0.0000,0.0000,0.0000,0.5116,0.0000,0.5116,0.6153,0.0000,0.0000,0.2187,0.0000,0.5498,0.5498,0.0000,0.0000,0.0000
swap_business.battery_rent_rmb_kwh_year,120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5008,0.0000,1.0000,0.0000,0.0000,0.5533,0.0000,0.5533,0.6654,0.0000,0.0000,0.2365,0.0000,0.5946,0.5946,0.0000,0.0000,0.0000
swap_business.grid_spread_rmb_kwh,0.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0000,0.0000,0.0000,0.0334,0.0000,0.0334,0.0402,0.0000,0.0000,0.0143,0.0000,0.0359,0.0359,0.0000,0.0000,0.0000
